entity_name,individual_or_organisation,description,location,source,colour
Margaret Masterman,I,"Computational linguist and founder of the CLRU. Also founded Lucy Cavendish College, Cambridge.",Cambridge,address book,yellow
Cambridge Language Research Unit,O,"Centre for research into Machine Translation, with greatest activity in the 1960s and 70s",20 Millington Road Cambridge,address book,#85B09A
Scott Adams,I,,,address book,black
National Science Foundation,O,,"1951 Constitution Ave, Washington D.C.",address book,green
The Rev. William J. Alberts,I,,"Crest Episcopal Church, Lowell",address book,black
Major Chuck Allard,I,,,address book,black
United States Air Force,O,,"Andrews Air Force Base, Washington D.C.",address book,red
Air Research and Development Command,O,,,address book,red
Victor Ho Allen,I,,,address book,black
Society of Motion Picture & Television Engineers,O,," 55 West 42nd St. New York 3&, N.Y.",address book,grey
American Automobile Association,O,,"1712 G Street N.W., Washington D.C.",address book,grey
American Documentation Institute,O,,"School of Library Sciences, Cleveland, Ohio",address book,navy
J.H. Shera,I,editor at American Documentation Institute,,address book,black
Irena Balinska,I,,"17 East 70th St, New York",address book,black
Karl Barus,I,,,address book,black
Walter R. Baum,I,,,address book,black
Department of Electrical Engineering at Swarthmore College,O,,"Swarthmore, PA",address book,navy
Steve Bilo,I,,,address book,black
Vertol Aircraft Co.,O,,Swarthmore,address book,green
Morton Computing Lab,O,,,address book,navy
Edmund C. Berkley,I,,,address book,black
Edo Computers & Automation,O,,"815 Washington St, MA",address book,grey
Brentano's Inc. (Books),O,,"586 5th Avenue, New York",address book,grey
Mrs. Lea Boehnert,I,"(Computer friend, of C. Mooers.')",(Pentagon),address book,black
Luther J. Binkley,I,,"20 E. Washington Ave., Wernersville, PA",address book,black
Franklin & Marshall College,O,,"Lancaster, Pa.",address book,navy
Bristol City Lines,O,,"1 Broadway, New York",address book,grey
John W. Black,I,,,address book,black
Department of Speech at The Ohio State University,O,,"Columbus, Ohio",address book,navy
Helen Brownson,I,,,address book,black
Bruderhof,O,,"Woodcrest, Rifton, New York",address book,purple
Carnegie Corp. of New York,O,,"589 5th Avenue, New York",address book,grey
Lloyd Morrisett,I,,,address book,black
Dr. Leslie L. Clark,I,,,address book,black
Human Relations Area Files,O,,"421 Humphrey St, New Haven, CT",address book,grey
Prof. Leon W. Cohen,I,,,address book,black
Department of Mathematics at University of Maryland,O,,"College Park, Maryland",address book,navy
Louis Cassells,I,,"6815 Mefoody Lane, Bethesda, MD",address book,black
Colonial Chevrolet Co.,O,"The CLRU appears to have purchased a 1953 Chevrolet Albinus Truck from this dealership in 1959. The truck was delivered to an address in Wilmington, Delaware","40th & Market Sts., Wilmington, DE",address book,grey
Mr. Clarence Smith,I,Re: insurance,,address book,black
Joseph Cooper,I,,,address book,black
Battelle Memorial Institute,O,,"505 King Avenue, Columbus, OH",address book,green
President Courtney-Smith,I,,,address book,black
Swarthmore College,O,,"Swarthmore, PA",address book,navy
Edward K. Cratsley,I,Financial vice-president,,address book,black
Prof. H.B. Curry,I,,,address book,black
Department of Mathematics at Pennsylvania State University,O,,"University Park, PA",address book,navy
Mr. deLashmutt,I,,,address book,black
Riggs National Bank,O,,"DuPont Circle Branch, 1913 Massachusetts Ave N.W., Washington D.C.",address book,grey
Prof. Dobson,I,,,address book,black
Department of East Asiatic Studies at the University of Toronto,O,,"Toronto, Canada",address book,navy
Leon E. Dostert,I,,,address book,black
Institute of Languages & Linguistics at Georgetown University,O,,Washington D.C.,address book,navy
Lee Anna Embrey,I,,,address book,black
Robert M. Exner,I,,"845 Kalmir Road, Washington, D.C.",address book,black
Department of Mathematics at Syracuse University,O,,"Syracuse, N.Y.",address book,navy
Ed and Nancy Feigenbaum,I,,,address book,black
School of Business Administration at University of California Berkeley,O,,"Berkeley, CA",address book,navy
Computer Sciences Division at the RAND Corporation,O,,"1700 Main St, Santa Monica, CA",address book,green
Dr. Robert & Mrs. Ester Felix,I,,"East Bexhill Dr., Kensington, MD",address book,black
Institute of Mental Health,O,,"Bethesda, MD",address book,grey
"Department of Health, Education & Welfare",O,,"Bethesda, MD",address book,grey
George S. Fisher,I,,,address book,black
E.I. duPont Nemours & Co.,O,,"Wilmington, DE",address book,grey
Paul Garvin,I,,,address book,black
RAND Corporation,O,,"1700 Main St, Santa Monica, CA",address book,green
Georgetown University,O,,"Washington, D.C.",address book,navy
Jane & Jeff Hamilton,I,,"2559 Deepwood Dr., Foulkwoods, Wilmington, DE",address book,black
Zellig Harris,I,,"2222 N. 53rd St., Philadelphia, PA",address book,black
Bernet Hammell,I,,"116 Prospect St, East Orange, N.J.",address book,black
Dr. David G. Hays,I,,,address book,black
Prof. Carl (Peter) Hempel,I,,,address book,black
Department of Philosophy at Princeton University,O,,"Princeton, N.J.",address book,navy
Charles Hill,I,(Agents: Bristol City Lines),"1 Broadway, NYC",address book,black
Prof. Evelyn Hutchinson,I,,,address book,black
Department of Marine Zoology at Yale University,O,,"New Haven, CT",address book,navy
Mr. Jones,I,,,address book,black
The Rev. Dr. & Mrs. Kean,I,,"Charles D. Church of the Epiphany, 1517 G St. NW, Washington",address book,black
Charles D. Church of the Epiphany,O,,,address book,purple
Prof. Donald Kirby,I,,,address book,black
Allen Kent,I,,,address book,black
